id;creation_date;banned_user;banned_date
1;2019-06-07T05:37:28;false;2019-06-07T10:15:40
2;2019-06-07T10:03:20;true;2019-06-07T05:37:17
3;2019-06-06T17:25:45;true;2019-06-06T16:53:51
4;2019-06-06T15:25:46;true;2019-06-06T19:51:02
5;2019-06-07T08:36:59;true;2019-06-07T01:47:26
6;2019-06-06T18:46:04;false;2019-06-06T12:26:05
7;2019-06-06T13:40:46;true;2019-06-06T19:26:04
8;2019-06-06T23:36:25;false;2019-06-07T08:06:13
9;2019-06-07T08:52:05;false;2019-06-07T02:55:48
10;2019-06-06T18:20:30;false;2019-06-06T18:24:42
